travel,(comment | complementOf)* differentFrom disjointWith+,csr_matrix,tensor_based_rpq,1,0,0.20478812499641208,0
travel,comment (complementOf | differentFrom)* disjointWith+,csr_matrix,tensor_based_rpq,1,0,0.17602749999787193,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csr_matrix,tensor_based_rpq,1,0,0.17648599999665748,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csr_matrix,tensor_based_rpq,1,0,0.17510979100188706,0
travel,(comment | complementOf)* differentFrom disjointWith+,csr_matrix,ms_bfs_based_rpq,1,0,0.37859166599810123,0
travel,comment (complementOf | differentFrom)* disjointWith+,csr_matrix,ms_bfs_based_rpq,1,0,0.23893408300500596,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csr_matrix,ms_bfs_based_rpq,1,0,0.3419182500001625,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csr_matrix,ms_bfs_based_rpq,1,0,0.23697820799861802,0
travel,(comment | complementOf)* differentFrom disjointWith+,csc_matrix,tensor_based_rpq,1,0,0.17528191699966555,0
travel,comment (complementOf | differentFrom)* disjointWith+,csc_matrix,tensor_based_rpq,1,0,0.1755698749984731,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csc_matrix,tensor_based_rpq,1,0,0.1757888330030255,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csc_matrix,tensor_based_rpq,1,0,0.1742612080051913,0
travel,(comment | complementOf)* differentFrom disjointWith+,csc_matrix,ms_bfs_based_rpq,1,0,0.29030325000348967,0
travel,comment (complementOf | differentFrom)* disjointWith+,csc_matrix,ms_bfs_based_rpq,1,0,0.2037588750026771,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csc_matrix,ms_bfs_based_rpq,1,0,0.28892916600307217,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csc_matrix,ms_bfs_based_rpq,1,0,0.20404129199596355,0
travel,(comment | complementOf)* differentFrom disjointWith+,lil_matrix,tensor_based_rpq,1,0,0.1771606670008623,0
travel,comment (complementOf | differentFrom)* disjointWith+,lil_matrix,tensor_based_rpq,1,0,0.17656424999586307,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,lil_matrix,tensor_based_rpq,1,0,0.1762385420006467,0
travel,((differentFrom+) | comment) complementOf disjointWith*,lil_matrix,tensor_based_rpq,1,0,0.17558554199786158,0
travel,(comment | complementOf)* differentFrom disjointWith+,lil_matrix,ms_bfs_based_rpq,1,0,0.32025408299523406,0
travel,comment (complementOf | differentFrom)* disjointWith+,lil_matrix,ms_bfs_based_rpq,1,0,0.2157097090021125,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,lil_matrix,ms_bfs_based_rpq,1,0,0.32080541699542664,0
travel,((differentFrom+) | comment) complementOf disjointWith*,lil_matrix,ms_bfs_based_rpq,1,0,0.21837204199982807,0
travel,(comment | complementOf)* differentFrom disjointWith+,coo_matrix,tensor_based_rpq,1,0,0.17506287500145845,0
travel,comment (complementOf | differentFrom)* disjointWith+,coo_matrix,tensor_based_rpq,1,0,0.17509354200592497,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,coo_matrix,tensor_based_rpq,1,0,0.1743445409956621,0
travel,((differentFrom+) | comment) complementOf disjointWith*,coo_matrix,tensor_based_rpq,1,0,0.17434191600477789,0
travel,(comment | complementOf)* differentFrom disjointWith+,coo_matrix,ms_bfs_based_rpq,1,0,0.32710862499516224,0
travel,comment (complementOf | differentFrom)* disjointWith+,coo_matrix,ms_bfs_based_rpq,1,0,0.22160758300015004,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,coo_matrix,ms_bfs_based_rpq,1,0,0.32728483399841934,0
travel,((differentFrom+) | comment) complementOf disjointWith*,coo_matrix,ms_bfs_based_rpq,1,0,0.22364337500039255,0
travel,(comment | complementOf)* differentFrom disjointWith+,csr_matrix,tensor_based_rpq,1,1,0.17471970900078304,0
travel,comment (complementOf | differentFrom)* disjointWith+,csr_matrix,tensor_based_rpq,1,1,0.175129791998188,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csr_matrix,tensor_based_rpq,1,1,0.17484824999701232,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csr_matrix,tensor_based_rpq,1,1,0.17673716699937358,0
travel,(comment | complementOf)* differentFrom disjointWith+,csr_matrix,ms_bfs_based_rpq,1,1,0.34199616700061597,0
travel,comment (complementOf | differentFrom)* disjointWith+,csr_matrix,ms_bfs_based_rpq,1,1,0.23478212500049267,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csr_matrix,ms_bfs_based_rpq,1,1,0.33925183300016215,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csr_matrix,ms_bfs_based_rpq,1,1,0.2369664579964592,0
travel,(comment | complementOf)* differentFrom disjointWith+,csc_matrix,tensor_based_rpq,1,1,0.17765104200225323,0
travel,comment (complementOf | differentFrom)* disjointWith+,csc_matrix,tensor_based_rpq,1,1,0.17523583300499013,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csc_matrix,tensor_based_rpq,1,1,0.17613724999682745,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csc_matrix,tensor_based_rpq,1,1,0.1747222080011852,0
travel,(comment | complementOf)* differentFrom disjointWith+,csc_matrix,ms_bfs_based_rpq,1,1,0.29112324999732664,0
travel,comment (complementOf | differentFrom)* disjointWith+,csc_matrix,ms_bfs_based_rpq,1,1,0.2046959169965703,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csc_matrix,ms_bfs_based_rpq,1,1,0.29062058300041826,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csc_matrix,ms_bfs_based_rpq,1,1,0.20346158299798844,0
travel,(comment | complementOf)* differentFrom disjointWith+,lil_matrix,tensor_based_rpq,1,1,0.17644975000439445,0
travel,comment (complementOf | differentFrom)* disjointWith+,lil_matrix,tensor_based_rpq,1,1,0.17771941599494312,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,lil_matrix,tensor_based_rpq,1,1,0.17590191699855495,0
travel,((differentFrom+) | comment) complementOf disjointWith*,lil_matrix,tensor_based_rpq,1,1,0.17524420799600193,0
travel,(comment | complementOf)* differentFrom disjointWith+,lil_matrix,ms_bfs_based_rpq,1,1,0.31992137499764794,0
travel,comment (complementOf | differentFrom)* disjointWith+,lil_matrix,ms_bfs_based_rpq,1,1,0.2172500000015134,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,lil_matrix,ms_bfs_based_rpq,1,1,0.3197917500001495,0
travel,((differentFrom+) | comment) complementOf disjointWith*,lil_matrix,ms_bfs_based_rpq,1,1,0.21847345899732318,0
travel,(comment | complementOf)* differentFrom disjointWith+,coo_matrix,tensor_based_rpq,1,1,0.17422712500410853,0
travel,comment (complementOf | differentFrom)* disjointWith+,coo_matrix,tensor_based_rpq,1,1,0.1740177909960039,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,coo_matrix,tensor_based_rpq,1,1,0.17432954099786002,0
travel,((differentFrom+) | comment) complementOf disjointWith*,coo_matrix,tensor_based_rpq,1,1,0.1741852499981178,0
travel,(comment | complementOf)* differentFrom disjointWith+,coo_matrix,ms_bfs_based_rpq,1,1,0.3266035839988035,0
travel,comment (complementOf | differentFrom)* disjointWith+,coo_matrix,ms_bfs_based_rpq,1,1,0.22185166699637193,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,coo_matrix,ms_bfs_based_rpq,1,1,0.3284242500012624,0
travel,((differentFrom+) | comment) complementOf disjointWith*,coo_matrix,ms_bfs_based_rpq,1,1,0.22178724999685073,0
travel,(comment | complementOf)* differentFrom disjointWith+,csr_matrix,tensor_based_rpq,1,2,0.17582079199928558,0
travel,comment (complementOf | differentFrom)* disjointWith+,csr_matrix,tensor_based_rpq,1,2,0.1738352920001489,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csr_matrix,tensor_based_rpq,1,2,0.1756180000011227,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csr_matrix,tensor_based_rpq,1,2,0.19559633300377754,0
travel,(comment | complementOf)* differentFrom disjointWith+,csr_matrix,ms_bfs_based_rpq,1,2,0.3557744999998249,0
travel,comment (complementOf | differentFrom)* disjointWith+,csr_matrix,ms_bfs_based_rpq,1,2,0.23773816700122552,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csr_matrix,ms_bfs_based_rpq,1,2,0.3421668330047396,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csr_matrix,ms_bfs_based_rpq,1,2,0.23768250000284752,0
travel,(comment | complementOf)* differentFrom disjointWith+,csc_matrix,tensor_based_rpq,1,2,0.17488979100016877,0
travel,comment (complementOf | differentFrom)* disjointWith+,csc_matrix,tensor_based_rpq,1,2,0.175273125001695,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csc_matrix,tensor_based_rpq,1,2,0.175062791997334,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csc_matrix,tensor_based_rpq,1,2,0.17493720800121082,0
travel,(comment | complementOf)* differentFrom disjointWith+,csc_matrix,ms_bfs_based_rpq,1,2,0.288695541996276,0
travel,comment (complementOf | differentFrom)* disjointWith+,csc_matrix,ms_bfs_based_rpq,1,2,0.2026114999971469,0
travel,((comment | complementOf)+ differentFrom)* disjointWith,csc_matrix,ms_bfs_based_rpq,1,2,0.28750754200154915,0
travel,((differentFrom+) | comment) complementOf disjointWith*,csc_matrix,ms_bfs_based_rpq,1,2,0.20428787499986356,0
travel,(comment | complementOf)* differentFrom disjointWith+,lil_matrix,tensor_based_rpq,1,2,0.18442162499559345,0
